experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-004,1789746388.8638985,0,60,opportunistic,0.0,0.10714285714285714,0.3157894736842105,1.0,0.4799999999999999,0.24074074074074073,0.0,2.0,511.0,3.5076364793051615,0.22916666666666666,0.0,0.0
SCE-004,1789746388.8928978,1,60,opportunistic,0.0,0.017857142857142856,0.047619047619047616,1.0,0.0909090909090909,0.3389830508474576,11.0,0.0,815.0,3.5116289413153385,0.06041666666666667,0.0,0.0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-004,1789746834.6402783,0,60,opportunistic,0.0,0.10714285714285714,0.3157894736842105,1.0,0.4799999999999999,0.24074074074074073,0.0,2.0,511.0,3.5076364793051615,0.22916666666666666,0.0,0.0
SCE-004,1789746834.668281,1,60,opportunistic,0.0,0.017857142857142856,0.047619047619047616,1.0,0.0909090909090909,0.3389830508474576,11.0,0.0,815.0,3.5116289413153385,0.06041666666666667,0.0,0.0
SCE-004,1789746834.6962876,2,60,resource_aware,0.0,0.018867924528301886,0.05,1.0,0.09523809523809523,0.3220338983050847,25.0,0.0,709.0,3.5816244569856672,0.08333333333333333,0.0,0.0
SCE-004,1789746834.7227194,3,60,adaptive,0.07142857142857142,0.17857142857142858,0.5,1.0,0.6666666666666666,0.2,2.0,5.0,550.0,3.4765132642251615,0.18333333333333332,2.3,0.0
SCE-004,1789746834.750229,4,60,opportunistic,0.0847457627118644,0.22033898305084745,0.5416666666666666,1.0,0.7027027027027027,0.23404255319148937,0.0,1.0,904.0,3.4764438290006856,0.07083333333333333,3.3000000000000003,0.0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-004,1789846457.0523639,0,60,opportunistic,0.0,0.10714285714285714,0.3157894736842105,1.0,0.4799999999999999,0.24074074074074073,0.0,2.0,511.0,3.5076364793051615,0.22916666666666666,0.0,0.0
SCE-004,1789846457.0821307,1,60,opportunistic,0.0,0.017857142857142856,0.047619047619047616,1.0,0.0909090909090909,0.3389830508474576,11.0,0.0,815.0,3.5116289413153385,0.06041666666666667,0.0,0.0
SCE-004,1789846457.114615,2,60,resource_aware,0.0,0.018867924528301886,0.05,1.0,0.09523809523809523,0.3220338983050847,25.0,0.0,709.0,3.5816244569856672,0.08333333333333333,0.0,0.0
